emp_id,issue_description,issue_summary,risk_type
11234,"Associate mistakenly credited INR 50,000 twice into a customer’s savings account. The duplication was flagged by the reconciliation team during daily account matching. A reversal request has been initiated.","Associate mistakenly credited INR 50,000 twice into a customer’s savings account. The duplication wa...",Financial Risk
11567,"Employee entered wrong IFSC code while processing NEFT of INR 12,800, leading to transaction rejection. Customer complaint registered and refund processed the same day.","Employee entered wrong IFSC code while processing NEFT of INR 12,800, leading to transaction rejecti...","Operational Risk, Reputational Risk"
11982,"Associate posted INR 4,350 as loan repayment against a wrong account number. Issue was identified during system audit and correction entries have been passed.","Associate posted INR 4,350 as loan repayment against a wrong account number. Issue was identified du...","Technology Risk, Compliance Risk, Financial Risk"
12345,"Teller forgot to obtain KYC verification documents before opening a new account. Compliance team reported the lapse, and the customer was asked to resubmit valid documents.",Teller forgot to obtain KYC verification documents before opening a new account. Compliance team rep...,Compliance Risk
12891,"Staff miscalculated fixed deposit maturity amount, leading to excess payout of INR 1,540. Customer has been notified and adjustment has been made.","Staff miscalculated fixed deposit maturity amount, leading to excess payout of INR 1,540. Customer h...",Financial Risk
13208,Employee delayed processing of RTGS transaction of INR 4.5 lakh by one working day due to incorrect scheduling. The delay was reported by the client.,Employee delayed processing of RTGS transaction of INR 4.5 lakh by one working day due to incorrect ...,Operational Risk
13677,"Wrong debit of INR 7,200 to a corporate account due to clerical error. The funds were restored after escalation to operations manager.","Wrong debit of INR 7,200 to a corporate account due to clerical error. The funds were restored after...","Operational Risk, Financial Risk"
14112,"Associate incorrectly applied service charge on a senior citizen account, amounting to INR 1,200. Charges have been reversed after customer complaint.","Associate incorrectly applied service charge on a senior citizen account, amounting to INR 1,200. Ch...","Technology Risk, Financial Risk, Reputational Risk"
14753,"Staff entered cheque number incorrectly while clearing, causing cheque bounce notification to be sent erroneously. Issue was rectified and apology email sent to customer.","Staff entered cheque number incorrectly while clearing, causing cheque bounce notification to be sen...",Reputational Risk
15240,"Employee uploaded an outdated interest rate table in the system, leading to wrong loan EMI calculations for 3 accounts. Correction made and customers informed.","Employee uploaded an outdated interest rate table in the system, leading to wrong loan EMI calculati...","Technology Risk, Financial Risk"
`00000,"Banking operations were halted for 30 minutes due to server outage, affecting fund transfers and ATM withdrawals.","Banking operations were halted for 30 minutes due to server outage, affecting fund transfers and ATM...",Technology Risk
`00000,"Core banking application experienced slow processing, causing delays in posting customer transactions for nearly 2 hours.","Core banking application experienced slow processing, causing delays in posting customer transaction...","Technology Risk, Operational Risk"
`00000,"Power fluctuation in the data center led to temporary downtime of cheque clearing systems, delaying settlements.","Power fluctuation in the data center led to temporary downtime of cheque clearing systems, delaying ...","Technology Risk, Operational Risk"
`00000,"SMS alert system failed for 3 hours, and customers did not receive debit and credit notifications.","SMS alert system failed for 3 hours, and customers did not receive debit and credit notifications....","Technology Risk, Financial Risk"
`00000,"Internet banking portal crashed during peak load, preventing customers from accessing accounts for 45 minutes.","Internet banking portal crashed during peak load, preventing customers from accessing accounts for 4...",Technology Risk
`00000,ATM network connectivity failure in one region caused withdrawal and balance inquiry issues for customers.,ATM network connectivity failure in one region caused withdrawal and balance inquiry issues for cust...,Technology Risk
`00000,"Internal batch jobs failed during end-of-day processing, requiring manual intervention to reconcile accounts.","Internal batch jobs failed during end-of-day processing, requiring manual intervention to reconcile ...",Operational Risk
`00000,"Delay in UPI settlement due to gateway timeout, leading to pending status for multiple customer transactions.","Delay in UPI settlement due to gateway timeout, leading to pending status for multiple customer tran...",Operational Risk
`00000,Technical glitch in credit card system applied late payment charges incorrectly on 120 accounts.,Technical glitch in credit card system applied late payment charges incorrectly on 120 accounts....,"Technology Risk, Financial Risk"
`00000,Server patch update caused login failures in the mobile banking app for nearly 1 hour.,Server patch update caused login failures in the mobile banking app for nearly 1 hour....,Technology Risk
